iteration,dataset,accuracy,precision,recall,f1_score,roc_auc
iteration_1,dataset_transaction_type.json,0.75,0.7244897959183674,0.7553191489361702,0.7395833333333334,0.817242071457246
iteration_2,dataset_transaction_type.json,0.75,0.7244897959183674,0.7553191489361702,0.7395833333333334,0.8157366519470093
iteration_1,dataset_device_used.json,0.71,0.6875,0.7021276595744681,0.6947368421052632,0.7946607788036932
iteration_2,dataset_device_used.json,0.685,0.6534653465346535,0.7021276595744681,0.676923076923077,0.7824167001204336
iteration_2,dataset_age_group.json,0.6,0.57,0.6063829787234043,0.5876288659793815,0.6758329987956644
iteration_1,dataset_transaction_day.json,0.59,0.5588235294117647,0.6063829787234043,0.5816326530612245,0.6749297470895222
iteration_2,dataset_transaction_day.json,0.59,0.5588235294117647,0.6063829787234043,0.5816326530612245,0.679044560417503
iteration_1,dataset_previous_transaction.json,0.585,0.5544554455445545,0.5957446808510638,0.5743589743589743,0.6793456443195505
iteration_2,dataset_recurring_payment.json,0.585,0.5533980582524272,0.6063829787234043,0.5786802030456852,0.6786431152147732
iteration_2,dataset_previous_transaction.json,0.58,0.5490196078431373,0.5957446808510638,0.5714285714285714,0.6791449217181855
iteration_1,dataset_recurring_payment.json,0.575,0.5436893203883495,0.5957446808510638,0.5685279187817259,0.6745283018867924
iteration_1,dataset_age_group.json,0.57,0.5377358490566038,0.6063829787234043,0.57,0.6728221597751906
